fips,state,county_name,x,y,rural,lnchildpov_under18,lnmedian_householdincome,lnunemployment,lnag,lnmanufacturing,lnretail,lnconstruction,lnhealth,lnblack,lnhispanic,lnuninsured,lnincome_ratio,urban,lnteenbirth,lnsingle_mom,lnunmarried,lnless_hs
1001,AL,Autauga County,-86.6413,32.5394,0,2.92316,10.8828,2.15176,0,2.65324,2.84404,2.04122,2.85647,2.8848,0.83291,2.552308,1.428276,1,3.597308,2.614766,3.845883,2.68102
1003,AL,Baldwin County,-87.7248,30.7431,0,2.95491,10.8227,2.26176,0.69315,2.23001,2.97265,2.37024,2.8848,2.25129,1.36098,2.759396,1.485483,1,3.796223,2.409529,3.594569,2.5177
1005,AL,Barbour County,-85.3924,31.8773,0,3.81331,10.4109,2.5337,0.40547,3.34639,2.32487,1.84055,2.70805,3.8416,1.52606,2.863822,1.70001,0,4.288729,2.987552,3.869116,3.33932
1007,AL,Bibb County,-87.1275,33.0002,0,3.32863,10.6399,2.37955,1.36098,2.89591,2.4582,2.36085,2.6174,2.72785,-0.51083,2.714999,1.507139,1,3.928897,2.665277,3.427515,3.23868
1009,AL,Blount County,-86.567,33.9832,0,3.30322,10.7265,2.20827,1.19392,2.82731,2.70316,2.3979,2.8622,0.26236,2.0149,2.906672,1.382236,1,3.855224,2.267785,3.339322,3.2308
1011,AL,Bullock County,-85.716,32.1061,0,3.64806,10.361,2.58776,2.36085,2.91777,1.84655,2.4681,2.67415,4.30676,0.47,2.865162,1.660758,0,4.437899,3.287744,4.552824,3.2308
1013,AL,Butler County,-86.6848,31.7581,0,3.66868,10.3307,2.5337,1.335,3.11352,2.56402,1.72277,2.8679,3.75887,-1.20397,2.809511,1.629339,0,4.14854,2.984957,3.758872,3.22684
1015,AL,Calhoun County,-85.8254,33.7764,0,3.45316,10.556,2.37024,0.09531,2.91777,2.68159,1.70475,3.00072,3.01554,1.09861,2.727382,1.641808,1,3.898501,2.72153,3.901973,3.06805
1017,AL,Chambers County,-85.39,32.9202,0,3.61631,10.3567,2.57261,0.26236,3.19048,2.58439,2.28238,2.83908,3.66612,0.40547,2.775248,1.663869,0,4.089802,2.949988,3.941582,3.33932
1019,AL,Cherokee County,-85.6003,34.1757,0,3.40453,10.6137,2.28238,0.87547,3.21487,2.77342,2.15176,2.97041,1.54756,0.18232,2.812692,1.62826,0,3.942717,2.340806,2.939162,3.27715
1021,AL,Chilton County,-86.7185,32.8548,0,3.421,10.5837,2.27213,1.1314,2.64618,2.75238,2.61007,2.72785,2.24071,1.8718,2.953487,1.512552,1,4.065854,2.487942,3.363842,3.18635
1023,AL,Choctaw County,-88.2627,32.0234,1,3.53806,10.3442,2.57261,2.14007,2.74727,2.46523,2.5096,3.04452,3.7612,-0.91629,2.780235,1.745855,0,3.744607,2.756954,3.723281,3.36384
1025,AL,Clarke County,-87.8274,31.6847,0,3.39451,10.2197,2.96527,1.79176,2.98062,2.80605,2.12823,3.06339,3.73529,-0.10536,2.835188,1.971467,0,3.735069,2.859447,4.20916,3.16969
1027,AL,Clay County,-85.8616,33.2749,1,3.11352,10.48,2.57261,1.54756,3.47816,2.05871,1.72277,2.89591,2.73437,0.95551,2.935175,1.620674,0,3.968055,2.545635,3.852273,3.35341
1029,AL,Cleburne County,-85.5195,33.6758,1,3.26957,10.4934,2.28238,1.74047,2.92852,2.56225,2.70136,2.89037,1.41099,0.33647,2.770631,1.656417,0,4.04985,2.332518,2.70805,3.39115
1031,AL,Coffee County,-85.9882,31.4109,0,3.27336,10.6514,2.11626,1.56862,2.4681,2.65395,2.00148,3.00568,2.85071,1.72277,2.773551,1.66404,0,3.799724,2.554286,3.401197,3.03013
1033,AL,Colbert County,-87.8035,34.7016,0,3.26194,10.5868,2.32239,0.64185,2.82731,2.53059,2.09186,3.03013,2.77882,0.69315,2.660965,1.561298,1,3.956779,2.619029,3.363842,2.99072
1035,AL,Conecuh County,-86.9908,31.4345,0,3.72569,10.2015,2.76001,1.25276,3.03013,2.04208,2.25129,2.93386,3.83298,-1.20397,2.901954,1.743164,0,4.005114,2.952129,3.693867,3.3569
1037,AL,Coosa County,-86.2468,32.941,1,3.31419,10.479,2.66026,1.25276,3.37417,1.88009,2.64618,2.92316,3.52046,-2.30259,2.815876,1.610378,0,3.896655,2.644763,3.353407,3.29213
1039,AL,Covington County,-86.4487,31.2505,0,3.44042,10.4298,2.31254,1.93152,2.83908,2.6347,2.2192,2.85647,2.55723,0.26236,2.849937,1.516467,0,4.227997,2.569382,4.082609,3.157
1041,AL,Crenshaw County,-86.3147,31.7378,1,2.95491,10.4671,2.28238,2.19723,2.7213,1.84139,2.29254,2.8679,3.03495,0.26236,2.799127,1.733265,0,3.981016,2.746463,3.523415,3.27336
1043,AL,Cullman County,-86.8654,34.1358,0,3.21888,10.5602,2.27213,1.41099,2.91777,2.60615,2.24071,2.96527,-0.10536,1.38629,2.893683,1.575385,0,4.026325,2.343959,3.380995,3.13983
1045,AL,Dale County,-85.6133,31.4393,0,3.26576,10.6771,2.14007,0.47,2.37955,2.06496,2.09186,2.91777,2.99072,1.64866,2.687099,1.619804,0,3.880131,2.683922,3.277145,2.8792
